repo	files	IDENT_EXPECTED	IDENT_ELSEWHERE	MODIFIED	NEW_SCAFFOLD	NEW_UNEXPLAINED	MISSING
mycelium-bench	25	22	1	1	1	0	0
mycelium-build	7	4	1	1	1	0	0
mycelium-check	7	4	1	1	1	0	0
mycelium-cli	22	19	1	1	1	0	0
mycelium-cli-common	5	2	1	1	1	0	0
mycelium-cli-myc	13	1	0	1	1	10	0
mycelium-codegen	102	100	0	1	1	0	0
mycelium-core	61	59	0	1	1	0	0
mycelium-doc	37	34	1	1	1	0	0
mycelium-fmt	10	7	1	1	1	0	0
mycelium-l1	122	119	1	1	1	0	0
mycelium-lang	4	0	1	0	3	0	0
mycelium-lint	6	3	1	1	1	0	0
mycelium-lsp	41	38	1	1	1	0	0
mycelium-proj	19	16	1	1	1	0	0
mycelium-runtime	49	47	0	1	1	0	0
mycelium-sec	8	5	1	1	1	0	0
mycelium-spore	12	9	1	1	1	0	0
mycelium-std-cmp	5	2	1	1	1	0	0
mycelium-std-collections	10	7	1	1	1	0	0
mycelium-std-conformance	21	18	1	0	2	0	0
mycelium-std-content	9	6	1	1	1	0	0
mycelium-std-core	7	4	1	1	1	0	0
mycelium-std-dense	5	2	1	1	1	0	0
mycelium-std-diag	6	3	1	1	1	0	0
mycelium-std-error	7	4	1	1	1	0	0
mycelium-std-fmt	6	3	1	1	1	0	0
mycelium-std-fs	11	8	1	1	1	0	0
mycelium-std-io	11	8	1	1	1	0	0
mycelium-std-iter	11	8	1	1	1	0	0
mycelium-std-math	8	5	1	1	1	0	0
mycelium-std-numerics	6	3	1	1	1	0	0
mycelium-std-rand	5	2	1	1	1	0	0
mycelium-std-recover	13	10	1	1	1	0	0
mycelium-std-runtime	29	26	1	1	1	0	0
mycelium-std-select	5	2	1	1	1	0	0
mycelium-std-spore	9	6	1	1	1	0	0
mycelium-std-swap	5	2	1	1	1	0	0
mycelium-std-sys	14	11	1	1	1	0	0
mycelium-std-sys-host	5	2	1	1	1	0	0
mycelium-std-ternary	9	6	1	1	1	0	0
mycelium-std-testing	13	10	1	1	1	0	0
mycelium-std-text	9	6	1	1	1	0	0
mycelium-std-time	5	2	1	1	1	0	0
mycelium-std-vsa	13	10	1	1	1	0	0
mycelium-transpile	58	55	1	1	1	0	0
mycelium-value	50	48	0	1	1	0	0
